Index,question,answer
3426,you and everybody else.,i would never want to be president.
3427,i would never want to be president.,but think about all the power you'd have.
3428,but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
3429,did you read this article?,what article?
3430,what article?,it says the mayor spends only 11 percent of his time on city duties.
3431,it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
3432,only 11 percent?,about 50 percent of the time he's traveling.
3433,about 50 percent of the time he's traveling.,where does he travel to?
3434,where does he travel to?,"oh, all over the world."
3435,"oh, all over the world.",but he's supposed to be making our city a better place.
3436,but he's supposed to be making our city a better place.,he's visiting other cities to get ideas.
3437,he's visiting other cities to get ideas.,can't he just go online?
3438,can't he just go online?,the rest of the time he's raising money for his reelection.
3439,the rest of the time he's raising money for his reelection.,"well, he'll never get reelected once this news gets out."
3440,who did you vote for for president?,i voted for ralph nader.
3441,i voted for ralph nader.,who in the world is ralph nader?
3442,who in the world is ralph nader?,he's the best man for president.
3443,he's the best man for president.,why's that?
3444,why's that?,he hates corporations.
3445,he hates corporations.,"well, most corporations do think only about money."
3446,"well, most corporations do think only about money.",he hates democrats and republicans.
3447,he hates democrats and republicans.,"well, they do put their party before their country."
3448,"well, they do put their party before their country.",he's the only candidate that i trust.
3449,he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
3450,but he didn't have a chance. nobody voted for him!,"sooner or later, voters will wake up."
3451,i don't know why i bother to vote.,why's that?
3452,why's that?,what good does it do?
3453,what good does it do?,you get to put someone in power that you like.
3454,you get to put someone in power that you like.,only if my candidate wins.
3455,only if my candidate wins.,"well, he can't win unless you and others vote for him."
3456,"well, he can't win unless you and others vote for him.","but even if my candidate wins, he'll break his promises."
3457,"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
3458,that's true. they promise anything just so they get elected.,"and when elected, they go their own way."
3459,"and when elected, they go their own way.",they forget who put them in power.
3460,they forget who put them in power.,they forget where they came from.
3461,they forget where they came from.,maybe you should run for office.
3462,that election for u.s. senator stunk.,what do you mean?
3463,what do you mean?,there were more votes than voters!
3464,there were more votes than voters!,but that's impossible.
3465,but that's impossible.,officials said that it's possible.
3466,officials said that it's possible.,did they explain how it's possible?
3467,did they explain how it's possible?,no. they said there are some things you can't explain.
3468,no. they said there are some things you can't explain.,so are they going to hold another election?
3469,so are they going to hold another election?,no. that will cost too much money.
3470,no. that will cost too much money.,so it's better to save money than to have an honest election?
3471,so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
3472,"well, the democratic party says it was an honest election.",of course they say thattheir man won!
3473,i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
3474,yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
3475,"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
3476,"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
3477,"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
3478,but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
3479,that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
3480,he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
3481,did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
3482,"no, he didn't have time to do that.","well, he's got plenty of time now!"
3483,"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
3484,did you get your official sample ballot?,"yes, with the voter instructions."
3485,"yes, with the voter instructions.",how are you going to vote?
3486,how are you going to vote?,"same as ever, by mail. all it costs me is a 42-cent stamp."
3487,"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
3488,"i meant, are you going to vote for or against the new taxes?","against all of them, of course."
3489,"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
3490,"but we need new taxes to pay for highways, schools, and prisons.",we've already voted for new taxes to pay for all that stuff!
3491,we've already voted for new taxes to pay for all that stuff!,that's true. where did that money go?
3492,that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
3493,our legislators spent it on first-class travel all over the world.,they are having a good time with our money.
3494,they are having a good time with our money.,so when are we going to stop giving them more?
3495,have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
3496,"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
3497,"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
3498,you mean the measures that will raise our taxes.,but the tv ads say that our taxes will not increase.
3499,but the tv ads say that our taxes will not increase.,do you believe the tv ads?
3500,do you believe the tv ads?,i like the one where the fireman tells us why we should vote yes.
3501,i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
3502,"don't believe him! whatever the tv ads tell you, the opposite is true.","but the title of measure 1 is ""better schools at no cost."""
3503,"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
3504,"the title should be ""better schools at huge cost.""",i can't believe that they would lie to us.
